tau,f1,tp,fp,fn
2.7665722633600037e-05,0.11740041928721175,28,421,0
2.769124625060285e-05,0.11764705882352941,28,420,0
2.7820662516001086e-05,0.11864406779661016,28,416,0
2.7840012579249153e-05,0.11940298507462686,28,413,0
2.7964157117913584e-05,0.12280701754385964,28,400,0
2.798350718116165e-05,0.12334801762114538,28,398,0
2.8059292888167566e-05,0.12416851441241683,28,395,0
2.8084747118915258e-05,0.12444444444444445,28,394,0
2.842074727190428e-05,0.12527964205816555,28,391,0
2.869365813921502e-05,0.12556053811659196,28,390,0
2.8713008202463083e-05,0.12641083521444693,28,387,0
2.8998089033958357e-05,0.12669683257918551,28,386,0
3.038448621828397e-05,0.12698412698412698,28,385,0
3.0752532855848685e-05,0.12727272727272726,28,384,0
3.077798708659638e-05,0.1275626423690205,28,383,0
3.817521245087297e-05,0.1278538812785388,28,382,0
3.8221908565777516e-05,0.12903225806451613,28,378,0
3.846747338143177e-05,0.12933025404157042,28,377,0
3.854856923713891e-05,0.13084112149532712,28,372,0
3.940543925123441e-05,0.13114754098360656,28,371,0
3.966034354851629e-05,0.13145539906103285,28,370,0
4.08684524185541e-05,0.13176470588235295,28,369,0
4.112423960361613e-05,0.13270142180094788,28,366,0
4.124180920482004e-05,0.1330166270783848,28,365,0
4.151472007213077e-05,0.13333333333333333,28,364,0
4.170281319240801e-05,0.13365155131264916,28,363,0
4.402269637382319e-05,0.1339712918660287,28,362,0
4.472694894000796e-05,0.1342925659472422,28,361,0
4.625352365313339e-05,0.1346153846153846,28,360,0
4.864839852275608e-05,0.13559322033898305,28,357,0
4.867385275350377e-05,0.13592233009708737,28,356,0
4.8946763620814505e-05,0.13691931540342298,28,353,0
5.298104431838004e-05,0.1375921375921376,28,351,0
5.620296194417211e-05,0.13793103448275862,28,350,0
5.647587281148284e-05,0.1382716049382716,28,349,0
5.649522287473091e-05,0.13930348258706465,28,346,0
5.7641396926910894e-05,0.1396508728179551,28,345,0
5.791430779422162e-05,0.14395886889460155,28,333,0
5.793365785746968e-05,0.14659685863874347,28,326,0
5.889620191185322e-05,0.14775725593667546,28,323,0
5.989691192558194e-05,0.14814814814814814,28,322,0
5.992982121978602e-05,0.14854111405835543,28,321,0
6.018917285614075e-05,0.14893617021276595,28,320,0
6.027026871184788e-05,0.14933333333333332,28,319,0
6.0334636894592e-05,0.1497326203208556,28,318,0
6.049418372277091e-05,0.15013404825737264,28,317,0
6.0607547761902735e-05,0.15053763440860218,28,316,0
6.118437962417654e-05,0.15094339622641506,28,315,0
6.233055367635653e-05,0.15135135135135133,28,314,0
6.257032107491975e-05,0.15217391304347827,28,312,0
6.262281460691533e-05,0.1525885558583106,28,311,0
6.262306118746715e-05,0.15300546448087432,28,310,0
7.238286061167382e-05,0.15384615384615385,28,308,0
7.410909770757763e-05,0.15426997245179064,28,307,0
9.41131079298286e-05,0.15469613259668508,28,306,0
9.791238655380575e-05,0.15512465373961218,28,305,0
0.00011365347007087488,0.15555555555555556,28,304,0
0.00011390925725593693,0.16091954022988506,28,292,0
0.0001139457310014337,0.16138328530259366,28,291,0
0.00011402682685714083,0.163265306122449,28,287,0
0.00011420151818649572,0.16716417910447762,28,279,0
0.00011431908778769962,0.17073170731707318,28,272,0
0.00012505374431047095,0.17283950617283952,28,268,0
0.00012512663129108227,0.17337461300309598,28,267,0
0.00012534600524102975,0.17445482866043613,28,265,0
0.0001278198712587634,0.175,28,264,0
0.00013654957600664694,0.1755485893416928,28,263,0
0.0001501251810737926,0.1761006289308176,28,262,0
0.00015784062955637258,0.17665615141955837,28,261,0
0.00016886137965026158,0.17721518987341772,28,260,0
0.00016915364058082041,0.17891373801916932,28,257,0
0.00016940942776588245,0.180064308681672,28,255,0
0.00016952699736708633,0.1806451612903226,28,254,0
0.0001718556032536991,0.18241042345276873,28,251,0
0.00017890316426273956,0.1830065359477124,28,250,0
0.0001818886651609795,0.1842105263157895,28,248,0
0.00019122281464752845,0.18481848184818483,28,247,0
0.00020192511176029027,0.18543046357615892,28,246,0
0.0002021808989453523,0.18729096989966557,28,243,0
0.00020221737269084908,0.18791946308724833,28,242,0
0.00020224973210085853,0.18983050847457628,28,239,0
0.00020257137941386696,0.1904761904761905,28,238,0
0.00020259072947711502,0.19112627986348124,28,237,0
0.00020461835172797143,0.19310344827586207,28,234,0
0.00020473592132917533,0.1951219512195122,28,231,0
0.00020489126259528215,0.1958041958041958,28,230,0
0.0002049106126585302,0.19649122807017544,28,229,0
0.00020499170851423734,0.1978798586572438,28,227,0
0.00020516639984359222,0.19858156028368792,28,226,0
0.00020549134735118536,0.199288256227758,28,225,0
0.00020818458731886646,0.19999999999999998,28,224,0
0.00021169004950864122,0.2007168458781362,28,223,0
0.00021533696342863445,0.2014388489208633,28,222,0
0.00021632996476626397,0.20216606498194944,28,221,0
0.0002164386826972386,0.2028985507246377,28,220,0
0.00021673094362779734,0.20363636363636364,28,219,0
0.0002168120394835045,0.20437956204379562,28,218,0
0.00021698673081285938,0.2058823529411765,28,216,0
0.00021787953894495532,0.20664206642066424,28,215,0
0.0002214161245934197,0.2074074074074074,28,214,0
0.0002274022647198873,0.20817843866171004,28,213,0
0.0002383533482986528,0.208955223880597,28,212,0
0.00023862625916596354,0.21132075471698114,28,209,0
0.00023864560922921157,0.21212121212121215,28,208,0
0.00023872670508491873,0.2129277566539924,28,207,0
0.00023901896601547754,0.21455938697318008,28,205,0
0.00024491428275528635,0.21538461538461542,28,204,0
0.0002473152617924087,0.21621621621621626,28,203,0
0.00025119205752098766,0.2170542635658915,28,202,0
0.000255162904033139,0.21875,28,200,0
0.00025541869121820104,0.2196078431372549,28,199,0
0.00025545516496369784,0.2204724409448819,28,198,0
0.000255536260819405,0.22134387351778656,28,197,0
0.0002636353025296077,0.2222222222222222,28,196,0
0.00026652297218019967,0.22310756972111556,28,195,0
0.00026654849579720247,0.22399999999999998,28,194,0
0.0002668407567277613,0.22950819672131148,28,188,0
0.0002692417357648836,0.23140495867768593,28,186,0
0.00027963261662988255,0.23236514522821575,28,185,0
0.0002810292646745753,0.23430962343096234,28,183,0
