tau,f1,tp,fp,fn
3.0667956005611984e-05,0.05493273542600897,49,1686,0
3.077413181454842e-05,0.055211267605633794,49,1677,0
3.092271375342097e-05,0.05622489959839357,49,1645,0
3.118642148868611e-05,0.05625717566016073,49,1644,0
3.173797545242635e-05,0.05697674418604651,49,1622,0
3.1859785391985627e-05,0.0570430733410943,49,1620,0
3.196125259785409e-05,0.057076295864880604,49,1619,0
3.259361186336563e-05,0.05737704918032786,49,1610,0
3.265577723627021e-05,0.06302250803858521,49,1457,0
3.272696331019729e-05,0.06477197620621283,49,1415,0
3.274256900837999e-05,0.06542056074766354,49,1400,0
3.326903003685598e-05,0.06546426185704741,49,1399,0
3.353273777212112e-05,0.06555183946488294,49,1397,0
3.408429173586136e-05,0.06572769953051644,49,1393,0
3.4307568881289103e-05,0.06581598388179986,49,1391,0
3.4449330405798575e-05,0.06906272022551092,49,1321,0
3.5122830580294483e-05,0.06940509915014165,49,1314,0
3.516652985451552e-05,0.07010014306151645,49,1300,0
3.522416151496655e-05,0.07040229885057472,49,1294,0
3.5305482096050074e-05,0.07050359712230217,49,1292,0
3.657577449938587e-05,0.07195301027900147,49,1264,0
3.66334061598369e-05,0.07248520710059173,49,1254,0
3.6748156750087676e-05,0.0725925925925926,49,1252,0
3.739103619839126e-05,0.0790960451977401,49,1141,0
3.757047779840156e-05,0.07922392886014551,49,1139,0
3.8304304269781555e-05,0.07941653160453808,49,1136,0
3.896706205948554e-05,0.07973962571196093,49,1131,0
3.897972244327191e-05,0.07980456026058631,49,1130,0
3.909447303352269e-05,0.07993474714518761,49,1128,0
3.946294281257117e-05,0.08072487644151566,49,1116,0
3.9794984142277294e-05,0.08092485549132947,49,1113,0
3.9977635658032884e-05,0.08099173553719008,49,1112,0
4.0011065667200126e-05,0.08105872622001654,49,1111,0
4.134458823429294e-05,0.08153078202995008,49,1104,0
4.142031031207048e-05,0.08166666666666667,49,1102,0
4.2229970976598006e-05,0.08249158249158249,49,1090,0
4.235738195063514e-05,0.0832625318606627,49,1079,0
4.3045232675603386e-05,0.08340425531914893,49,1077,0
4.3639215621468346e-05,0.08361774744027305,49,1074,0
4.3766626595505483e-05,0.0839041095890411,49,1070,0
4.378260957688549e-05,0.08404802744425385,49,1068,0
4.445447732047371e-05,0.08412017167381974,49,1067,0
4.4487907329640975e-05,0.08448275862068966,49,1062,0
4.48051654399386e-05,0.08455565142364108,49,1061,0
4.487218318436932e-05,0.08499566348655682,49,1055,0
4.508189027550594e-05,0.08506944444444445,49,1054,0
4.541577003514785e-05,0.08536585365853658,49,1050,0
4.560284383996033e-05,0.08544027898866609,49,1049,0
4.589715197451132e-05,0.08551483420593368,49,1048,0
4.6018961914070605e-05,0.08558951965065502,49,1047,0
4.612892586032049e-05,0.08566433566433565,49,1046,0
4.672966502668941e-05,0.0857392825896763,49,1045,0
4.6753828606091115e-05,0.08581436077057794,49,1044,0
4.683422361307599e-05,0.08588957055214723,49,1043,0
4.704551849399794e-05,0.08611599297012301,49,1040,0
4.742820655894095e-05,0.08687943262411346,49,1030,0
4.7901670184249426e-05,0.08703374777975134,49,1028,0
4.824346825794633e-05,0.08718861209964412,49,1026,0
4.846674540337406e-05,0.0873440285204991,49,1024,0
4.928200710237945e-05,0.08742194469223907,49,1023,0
4.939183477743295e-05,0.0875,49,1022,0
5.116457910136189e-05,0.08765652951699462,49,1020,0
5.1729654320486525e-05,0.0878136200716846,49,1018,0
5.254491601949191e-05,0.08836789900811541,49,1011,0
5.2573823746232236e-05,0.08852755194218608,49,1009,0
5.26072537553995e-05,0.08876811594202899,49,1006,0
5.30607187240148e-05,0.08941605839416057,49,998,0
5.311391606131074e-05,0.08957952468007313,49,996,0
5.313889896535687e-05,0.08982584784601283,49,993,0
5.356099418239206e-05,0.09057301293900186,49,984,0
5.366926798241312e-05,0.09065679925994449,49,983,0
5.395416066436226e-05,0.09074074074074073,49,982,0
5.4016498400269846e-05,0.09099350046425254,49,979,0
5.4104581033170574e-05,0.09193245778611632,49,968,0
5.414166875926457e-05,0.09219190968955786,49,965,0
5.491545337903637e-05,0.09227871939736347,49,964,0
5.4919842732175954e-05,0.09236569274269556,49,963,0
5.4953570038834495e-05,0.09280303030303032,49,958,0
5.4956930458269955e-05,0.09289099526066351,49,957,0
5.5028116532197014e-05,0.09297912713472486,49,956,0
5.5513825678040935e-05,0.09306742640075974,49,955,0
5.6257901303119236e-05,0.09333333333333334,49,952,0
5.6329087377046315e-05,0.09342230695900859,49,951,0
5.6362814683704856e-05,0.09351145038167939,49,950,0
5.6366175103140296e-05,0.09386973180076628,49,946,0
5.6437361177067375e-05,0.09395973154362416,49,945,0
5.6487985042699565e-05,0.09404990403071017,49,944,0
5.7125398588001004e-05,0.0941402497598463,49,943,0
5.717859592529695e-05,0.09423076923076923,49,942,0
5.7374432815632025e-05,0.09441233140655106,49,940,0
5.7585727696553994e-05,0.09450337512054004,49,939,0
5.8453854714453663e-05,0.09486931268151017,49,935,0
5.862245398541636e-05,0.09496124031007752,49,934,0
5.8675651322712306e-05,0.09542356377799414,49,929,0
